,MlsId,MlsName,DateListed,StreetAddress,Price,Bedrooms,Bathrooms,FullBathrooms,HalfBathrooms,ThreeQuarterBathrooms,Appliances,Rooms,Description
18,16133142,CLAW,2016-07-15 00:00:00,1970 N GRAMERCY PL,1699000.00,3,,2,1,,RangeOven,"bedrooms,bathrooms","Tranquility awaits at this 1935 Traditional hillside retreat in the coveted Los Feliz Oaks. Tucked away in a quiet cul-de-sac, this home boasts a dramatic living room with beamed ceilings, a decorativ"
165,316006132,ITECH,2016-07-15 00:00:00,1401 Via Del Rey,1988000.00,6,,4,,1,"Built-Ins,Oven,RangeOven","bedrooms,bathrooms","Mid Century 1970's iconic Charles Wong designed South Pasadena home, filled with original character and charm, situated on a corner lot atop of Via del Rey, overlooking Pasadena, the Rose Bowl and a g"
30,16144050,CLAW,2016-07-18 00:00:00,2600 Canada Este RD,5495000.00,6,,3,,,"Built-Ins,Range Hood,Microwave,RangeOven","bedrooms,bathrooms","CENT'ANNI Estate is an alluring 20 acre property amidst the picturesque countryside of Santa Ynez in the secluded, idyllic setting of Los Olivos. This is a once in a lifetime opportunity to acquire a "
29,16142204,CLAW,2016-07-21 00:00:00,514 LILLIAN WAY,1399000.00,3,,1,,,Built-In Gas,"bedrooms,bathrooms","MOTIVATED SELLER! BRING US AN OFFER!! Perfectly situated between the Wilshire Country Club and the Los Angeles Tennis Club, come see this charming Spanish 3-bedroom house with central air and incredib"
31,16145020,CLAW,2016-07-21 00:00:00,602 PALISADES BEACH RD,10500000.00,7,,7,,,,"bedrooms,bathrooms","Incredible opportunity to own this classic French Revival sitting on over 11,000 square feet of beach front land right in the middle of Santa Monica's famed Gold Coast. With 59 feet of beachfront, it "
32,16146358,CLAW,2016-07-22 00:00:00,4906 MENDOTA AVE,468300.00,2,,1,,,,"bedrooms,bathrooms","Amazing investor opportunity in hot, hot Highland Park. This is a Probate sale that requires court confirmation. Cash buyers only. Executor asks that you do not walk on property. No open houses, no sh"
33,16146576,CLAW,2016-07-22 00:00:00,4017 E 6TH ST,336900.00,2,,1,,,,"bedrooms,bathrooms","There is an accepted offer at $308,500. The court confirmation hearing for the Sale is currently set for November 15, 2016 at 8:30 a.m. in Dept. 11 of Los Angeles County Superior Court located at 111 "
34,16148546,CLAW,2016-07-29 00:00:00,29220 WAGON RD,2688000.00,6,,5,,,"Built-In BBQ,Range Hood,Microwave,RangeOven","bedrooms,bathrooms","Perched atop a secluded promontory, this inspired contemporary compound is located within the exclusive gated community of Medea Valley Estates, optimally positioned between Malibu and Agoura Hills. O"
168,316007195,ITECH,2016-07-29 00:00:00,5215 Vista Miguel Drive,1848000.00,4,,3,,,,"bedrooms,bathrooms",Quintessential Cape Cod style home located in a prime area of La Canada Flintridge. Fantastic family floor plan with sunlight-filled rooms throughout which flow seamlessly to an inviting veranda and e
169,316007323,ITECH,2016-08-03 00:00:00,470 South Santa Anita Avenue,1450000.00,4,,3,,,Built-In Gas,"bedrooms,bathrooms","Special two-story Spanish Colonial Revival featuring Andalusian architectural details. Separate single-story wing dedicated to large living room with vaulted ceiling supported by trussed wooden beams,"
37,16150318,CLAW,2016-08-05 00:00:00,27112 MALIBU COVE COLONY DR,20000.00,3,,3,1,,"Range Hood,Microwave","bedrooms,bathrooms","This sleek and sexy beach house is located on a private guard-gated lane in the center of Malibu. Upon entry, the home immediately introduces you to the Pacific Ocean with a two story entry, walls of "
35,16150042,CLAW,2016-08-05 00:00:00,29672 ZUMA BAY WAY,1900000.00,3,,1,1,1,Built-Ins,"bedrooms,bathrooms","Impeccable townhome located in a 24-hour guard gated enclave known as Zuma Bay Villas. An amazing opportunity to call this your home, a turnkey investment, or a personal vacation escape with several p"
38,16150758,CLAW,2016-08-05 00:00:00,181 SURFVIEW DR,10815.00,4,,3,1,,"Built-Ins,Microwave,RangeOven","bedrooms,bathrooms","Spectacular Contemporary with dramatic and architectural details. Exquisitely updated with fine attention to detail. Ocean view from most rooms, yard and decks. Gorgeous living/media room with bar are"
36,16150280,CLAW,2016-08-09 00:00:00,1961 DE MILLE DR,5540000.00,6,,4,,,,"bedrooms,bathrooms",Beautiful architectural home with stunning 180 degree views from downtown to the ocean. This 6 bedroom 4.5 bath is tucked behind the highly desirable gates of the exclusive Laughlin Park Community. Th
40,16151674,CLAW,2016-08-10 00:00:00,19355 PACIFIC COAST HWY,3500.00,1,,1,,,RangeOven,"bedrooms,bathrooms","This charming, fully furnished 1 bedroom, 1 bath cottage sits on the grounds originally developed in the 1930's known as The Malibu Lodge. Truly a special property, across the street from Las Tunas St"
39,16151208,CLAW,2016-08-11 00:00:00,4960 VANALDEN AVE,3495000.00,7,,4,1,1,"Built-In BBQ,Built-Ins,Range Hood,Microwave,RangeOven,Convection Oven,Cooktop - Gas,Double Oven,Gas,Oven-Gas","bedrooms,bathrooms","Designed by noted architect Gus Duffy and situated on approx 3/4's of an acre, this resort like estate defines the meaning of ""compound"". The Casa: Is a single story 4+3.5 home, beautiful in rich wood"
41,16153228,CLAW,2016-08-15 00:00:00,7135 HOLLYWOOD,650000.00,1,,2,,,Built-Ins,"bedrooms,bathrooms","Hollywood Versailles Towers at it's best! Come see this hip, designer perfect condo in the fabulous, full-service building on Hollywood Boulevard! Bring your toothbrush and move in! This condo has a f"
171,316007701,ITECH,2016-08-15 11:31:13,82 Monterey Lane,879000.00,3,,1,,1,"Built-In Electric,Microwave","bedrooms,bathrooms","Quaint Sierra Madre Traditional corner lot home on cul-de-sac street. Wonderful open and bright floor plan with 3 bedrooms, 2 bathrooms, and spacious family room that opens to the back yard. This home"
172,316007842,ITECH,2016-08-19 00:00:00,21552 Yucatan Avenue,799000.00,5,,2,,1,Gas,"bedrooms,bathrooms","Beautifully remodeled five bedroom, three bath home located south of the Blvd. This home exemplifies an ideal open floorplan, soaring ceilings & an abundance of natural light. Features include a cooks"
44,16154966,CLAW,2016-08-19 00:00:00,6410 SURFSIDE WAY,2288000.00,3,,2,,2,RangeOven,"bedrooms,bathrooms","Located in one of Malibu's most desirable beachside neighborhoods, Malibu Park, this modern single-story home is styled with tranquil, Zen elements throughout. Close proximity to Zuma Beach, schools, "
46,16155592,CLAW,2016-08-22 00:00:00,1100 N BEVERLY GLEN,5700.00,3,,2,,1,"Range Hood,RangeOven","bedrooms,bathrooms","Stunning Contemporary in Beverly Glen. Centrally located near Bel Air, Beverly Hills, Westwood, and Century City. The home has been tastefully updated with top quality finishes. Features hardwood floo"
45,16155556,CLAW,2016-08-22 00:00:00,24014 PARK CASINO,1719500.00,4,,3,,,"Built-In BBQ,Built-Ins,Range Hood,RangeOven","bedrooms,bathrooms","Gorgeous home with view of Calabasas golf course, Located in the sought after Las Virgenes School District. Nice and bright with an impressive entryway with skylights that opens into the living room o"
42,16154748,CLAW,2016-08-22 00:00:00,9640 SIERRA HWY,12800000.00,5,,4,1,,RangeOven,"bedrooms,bathrooms","Just 35 miles outside of Los Angeles, Agua Dulce Winery is a breathtaking 90-acre property affording oenophiles the rarity of owning a countryside estate featuring a spacious 5-bedroom residence and t"
173,316007976,ITECH,2016-08-24 00:00:00,3138 Cloudcrest Road,850000.00,3,,2,,,,"bedrooms,bathrooms","Peace, calm and quiet in the hills of La Crescenta, this Traditional-Contemporary home offers what you've been waiting for. Within the last two years this three bedroom,/two bathroom home has been ext"
48,16157052,CLAW,2016-08-26 00:00:00,5100 ANGELES VISTA BLVD,975000.00,3,,2,1,,"Built-Ins,Range Hood,Microwave,RangeOven","bedrooms,bathrooms","Classic 1928 Spanish Casa located in the desirable View Park enclave, recently designated in the National Registry of Historic Places."
47,16156574,CLAW,2016-08-26 00:00:00,1016 OAKWOOD AVE,1450000.00,3,,2,,,RangeOven,"bedrooms,bathrooms","AMAZING OPPORTUNITY IN VENICE! Charming beach cottage with 3 bedrooms and one bathroom in main house. Hardwood floors, light and bright, spacious bathroom and laundry inside. Legal back studio with st"
49,16157428,CLAW,2016-08-29 00:00:00,200 TOYOPA DR,20000000.00,7,,5,3,2,"Built-In BBQ,Built-Ins,Range Hood,Microwave,RangeOven,Cooktop - Gas,Double Oven","bedrooms,bathrooms","Perched atop the coveted Huntington area of the Pacific Palisades, this oceanside manor is nothing short of presidential - a rare composition of remarkable stonework flush with ivy and backlit by the "
43,16154856,CLAW,2016-08-30 00:00:00,6420 SYCAMORE MEADOWS DR,10500.00,4,,2,,,,"bedrooms,bathrooms","Modern Ranch Beach Bungalow in Sycamore Park. Located in idyllic Sycamore Park, steps from Escondido Beach, this light, airy, open home features vaulted whitewashed ceilings, hardwood floors, elegant "
51,16157850,CLAW,2016-08-30 00:00:00,22042 CARBON MESA RD,2995000.00,5,,2,,3,"Built-In BBQ,Built-Ins,RangeOven","bedrooms,bathrooms","68 yrs ago the owners picked this spot overlooking the now famous Billionaires' Beach in Malibu. This pastoral sanctuary, approx. 2.8 acres, has panoramic Ocean Views from Santa Monica's shoreline to "
52,16158240,CLAW,2016-08-31 00:00:00,6420 SYCAMORE MEADOWS DR,3169000.00,4,,2,,,,"bedrooms,bathrooms","Modern Ranch Beach Bungalow in idyllic Sycamore Park. Just steps from Escondido Beach, this light, airy, open home features vaulted whitewashed ceilings, hardwood floors, elegant lines & sophisticated"
54,16158874,CLAW,2016-09-02 00:00:00,10747 WILSHIRE,720000.00,2,,2,,,"Microwave,RangeOven","bedrooms,bathrooms","Prime Wilshire corridor location! Secure building with a 24 hr. doorman. Light and bright luxury unit, the best bargain on the Wilshire corridor. 2 bdrm/ 2 bath updated condo with plantation shutters "
167,316006757,ITECH,2016-09-02 00:00:00,764 Michigan Boulevard,1898000.00,5,,1,1,2,,"bedrooms,bathrooms","The Prairie style architecture of this magnificent home, with its broad eaves, pergola covered porte-cochere and expansive front porch, welcome you home to the tree-shaded parkways and expansive lawns"
50,16157766,CLAW,2016-09-02 00:00:00,16242 SHADOW MOUNTAIN DR,10620000.00,8,,8,1,,"Built-In BBQ,Built-Ins,Microwave,RangeOven","bedrooms,bathrooms",Shadow Mountain is an enclave of 46 wonderful estates that enjoy 24 hour live-gated security just minutes from all that Pacific Palisades has to offer. This spectacular property was conceived and cust
55,16159656,CLAW,2016-09-06 00:00:00,11647 BELLAGIO RD,2400000.00,7,,5,,,"Built-Ins,Range Hood,Microwave,RangeOven,Built-In Gas,Cooktop - Gas","bedrooms,bathrooms","Located on one of Bel Air's most coveted streets, this superb property provides an escape from city life to a sanctuary of treetop vistas and glorious views of the Getty Museum and Catalina Island on "
53,16158556,CLAW,2016-09-06 00:00:00,3464 GREENWOOD AVE,1299000.00,3,,3,,,"Built-Ins,Microwave","bedrooms,bathrooms","Tropical Traditional on the Famed Mar Vista Wood Streets. A gated, grassy front yard welcomes you to 3 bed 2.5 bath home with a large office. Enjoy an updated kitchen with an oversized granite peninsu"
170,316007560,ITECH,2016-09-06 00:00:00,1406 Wellington Avenue,1088000.00,3,,2,,,"Oven,RangeOven","bedrooms,bathrooms","Located in the prestigious Linda Vista neighborhood of Pasadena, this adorable home welcomes you with a beautifully landscaped front yard and charming porch. Cozy living room with fireplace, wood beam"
174,316008372,ITECH,2016-09-06 00:00:00,2388 North Altadena Drive,1790000.00,6,,5,,,"Free Standing Gas,Oven-Gas","bedrooms,bathrooms",House Re-Imagined! It is incredible what can be done for $50K. Come and see the transformation. Canopies of Oaks shelter this one-of-a-kind Rustic Craftsman residence that rests on the banks of Eaton 
56,16159808,CLAW,2016-09-08 00:00:00,316 N SKYEWIAY RD,3995000.00,5,,3,1,1,"Built-Ins,RangeOven","bedrooms,bathrooms","New Construction in the heart of Brentwood. This ""East Coast Beach Cottage"" influenced 5 bedroom, 5 bath home has a flexible open floorplan and works well for daily living and entertaining. The formal"
58,16160314,CLAW,2016-09-08 00:00:00,868 LEONARD RD,5498000.00,5,,5,2,,"Built-In BBQ,Built-Ins,Range Hood,RangeOven","bedrooms,bathrooms","Thoughtfully placed on an idyllic Brentwood cul-de-sac, this newly constructed California Modern was beautifully conceived by Marmol Radziner to blend effortlessly into the hillside topography by way "
175,316008538,ITECH,2016-09-09 00:00:00,2329 Lake View Avenue,1349000.00,3,,2,1,,Built-In Gas,"bedrooms,bathrooms","Designed by noted Architect, Steven Hill, this stunning example of contemporary modernism is bound to impress you. Perched on an expansive ridge in Silverlake Heights, this 2,100 Sf contemporary home "
59,16161032,CLAW,2016-09-09 00:00:00,21425 Rambla Vista,450000.00,0,,,,,,None,"This upslope lot in the desirable La Costa area of Malibu is located less than a minute off of PCH and is in close proximity to shopping, schools, and Santa Monica. Enjoy panoramic ocean and whitewate"
57,16160058,CLAW,2016-09-09 00:00:00,545 CATALONIA AVE,2895000.00,4,,5,,,"Built-Ins,Range Hood,Microwave,RangeOven","bedrooms,bathrooms","An architectural wonder designed by renowned architect David Kellen, a student of Frank Israel and colleague of Frank Gehry, this neo-modern ranch is perched atop the rolling hills of Pacific Palisade"
60,16161068,CLAW,2016-09-10 00:00:00,7931 ZEUS DR,7900.00,4,,3,1,,,"bedrooms,bathrooms","4 bedroom + 3.5 bathrooms, 3162 sqft home with pool on a 12,219 sqft lot. Cul-de-sac location, convenient to Sunset Strip, Hollywood and West Hollywood. Spacious Modern Spanish home with city views an"
61,16161388,CLAW,2016-09-14 00:00:00,1900 PETERSON AVE,2588000.00,6,,3,1,2,"Microwave,RangeOven","bedrooms,bathrooms","Extraordinary view home located in the award-winning South Pasadena School district. Located minutes to Downtown LA, USC and Caltech. This home showcases stunning views of downtown, mountains & trees."
64,16162424,CLAW,2016-09-14 00:00:00,1253 GRANVILLE AVE,5750.00,4,,3,1,,"Range Hood,Microwave,RangeOven","bedrooms,bathrooms","GORGEOUS 4 BED, 3.5 BATH TOWNHOME FOR LEASE! AVAILABLE NOVEMBER 1. THIS UNIT HAS ITS OWN 2-CAR GARAGE W/ DIRECT ACCESS. THE LUXURY MASTER BEDROOM HAS A LOFT, A DUAL WALK-IN CLOSET, FIRE PLACE & LARGE "
65,16162540,CLAW,2016-09-14 00:00:00,1012 2ND ST,3488000.00,3,,1,1,2,RangeOven,"bedrooms,bathrooms","Unit #1 is ""Pending"". Just one ocean view townhouse remains available for sale! Coastal contemporary brand new construction- a true labor of love! Direct ocean views from this sleek architectural 3 be"
66,16162570,CLAW,2016-09-14 00:00:00,1012 2ND ST,2895000.00,3,,1,,2,"Range Hood,RangeOven","bedrooms,bathrooms","Unit #1 is ""Pending"". Just one ocean view townhouse remains available for sale! Architecturally significant turn-of-the-century Victorian cottage meticulously restored and transformed into a modern ma"
63,16162304,CLAW,2016-09-15 00:00:00,10501 EASTBORNE AVE,3248000.00,5,,5,1,,"Built-Ins,Range Hood,RangeOven","bedrooms,bathrooms",This impressive modern construction sets the standard in this highly desirable Westwood location. Ideally located in close proximity to the best of what the Westside has to offer. 5 bd 5.5 ba & an ope
67,16162696,CLAW,2016-09-15 00:00:00,1203 N SWEETZER AVE,499000.00,1,,1,,,"Built-Ins,RangeOven","bedrooms,bathrooms","Remodeled, spacious and light 1 bedroom and 1 bathroom condo in the coveted West Hollywood complex. Villa Las Brisas. Large open living room and dining area with private balcony. Remodeled eat-in-kitc"
68,16162826,CLAW,2016-09-15 00:00:00,810 N TOWNE AVE,2300.00,4,,2,,,,"bedrooms,bathrooms","Impeccable home situated in one of the nicest neighborhood of Claremont. This lovely home has 4 bedrooms, 2 FULL bathrooms. Nice hardwood floors. Kitchen has granite counter tops. Open floor plan. Hug"
69,16163034,CLAW,2016-09-15 00:00:00,215 21ST PL,4695000.00,5,,3,1,1,"Built-In BBQ,Microwave,RangeOven","bedrooms,bathrooms","Classic Mediterranean Spanish home designed by J. Charles. Built in 1998 on a 50x152 lot with a guest room above garage. Perfect floor plan- appx 4600sqft with step down living rm, high beamed ceiling"
62,16161666,CLAW,2016-09-16 00:00:00,10700 ARTRUDE ST,969000.00,4,,2,1,,"Range Hood,Microwave,RangeOven,Oven","bedrooms,bathrooms","Located on a peaceful cul-de-sac in the lovely equestrian community of Shadow Hills, this extensively updated modern ranch home is the perfect turnkey opportunity. Upon entering this home, you are gre"
70,16163198,CLAW,2016-09-16 00:00:00,3714 FLORESTA WAY,849900.00,2,,1,,1,"Built-Ins,Microwave,RangeOven","bedrooms,bathrooms",Large 2b/2ba with a 3rd Bedroom option. Situated in the highly sought after Historic neighborhood of View Park is this beautiful Cape Cod residence. As you open the Black Onyx front door you are welco
71,16163248,CLAW,2016-09-16 00:00:00,702 MARINE ST,1449000.00,3,,1,,,,"bedrooms,bathrooms","An incredible opportunity to buy an over-sized corner lot just seven blocks from the Ocean. It could be a major fixer or a tear down, you decide. One thing is for sure, this is a prime Santa Monica Oc"
72,16163266,CLAW,2016-09-16 00:00:00,21844 PACIFIC COAST HWY,10950000.00,3,,2,,,"Built-Ins,Microwave,RangeOven","bedrooms,bathrooms","Meticulously remodeled Carbon Beach jewel. This 3 bedroom, 2 bath home with gated entry and beautiful courtyard leads you to the best location on the beach! Relax and unwind in your private hot tub on"
176,316008853,ITECH,2016-09-19 00:00:00,1990 Hilldale Drive,899000.00,3,,1,,1,,"bedrooms,bathrooms","Charming hilltop home! Built in 1941, this 3 bedroom 2 bathroom traditional 2 level home has been meticulously maintained by the current owners for the past 25 years and is described as having good bo"
74,16163996,CLAW,2016-09-20 00:00:00,1363 COLTON ST,2599000.00,0,,,,,,None,"Located in the S Echo Park / Westlake neighborhood, this double lot offers the opportunity to raise 40 residential units over 2 levels of daylight subterranean, with access off both Colton and Douglas"
76,16164412,CLAW,2016-09-21 00:00:00,1310 NAPOLI DR,6495000.00,4,,3,,,"Built-In BBQ,Built-Ins,Range Hood,Microwave,RangeOven","bedrooms,bathrooms","A harmonious union between architecture and nature, this Spanish Villa is set on a half-acre of beautiful land in the desirable Palisades. Originally built in 1923, the home remains true to its Spanis"
75,16164100,CLAW,2016-09-21 00:00:00,11768 ELLICE ST,16550000.00,5,,5,2,,"Built-In BBQ,Built-Ins,Microwave,RangeOven","bedrooms,bathrooms","Oceanfront vistas await at The Spanish Estate, an incomparable residential retreat perched on a private bluff top in Malibu's exclusive Marisol community. Masterfully designed by award-winning archite"
77,16164760,CLAW,2016-09-22 00:00:00,1616 N LA BREA AVE,3075.00,0,,1,,,"Microwave,RangeOven",bathrooms,NOW OFFERING MOVE IN SPECIALS! This is the last TOP FLOOR CORNER unit! Welcome to The Lofts On La Brea. The newest luxury community. This large studio is perfect for the entertainer that wants the hig
78,16164788,CLAW,2016-09-22 00:00:00,928 19TH ST,6475.00,2,,2,1,,"Range Hood,RangeOven","bedrooms,bathrooms","Fantastic location! Flexible lease terms- Landlord will consider short, or long term. Just 2 blocks to Montana Avenue shops, cafes and restaurants! Franklin School District! Updated townhouse with 2bd"
